Thesis,Mean,StdDev,Correlation Coefficient
Thesis 1,2.4,1.1723305738395522,0.0
Thesis 2,4.447368421052632,0.7951667654786407,-0.03126929211007916
Thesis 3,4.138888888888889,0.9305229797662261,0.44871463470773737
Thesis 4,3.9444444444444446,0.7908203496350011,-0.071156806696482
Thesis 5,3.8055555555555554,0.8558853209044324,-0.13788380005047265
Thesis 6,3.2,1.079215401276752,-0.2224656158291531
Thesis 7,2.657142857142857,1.0555973258234954,-0.3084612200510176
Thesis 8,3.875,0.7931155389125321,-0.19245008972987526
Thesis 9,3.8484848484848486,0.9394550322265337,-0.052121736807591426
Thesis 10,3.6451612903225805,1.0181154845030824,-0.0659438400859169
Thesis 11,3.466666666666667,1.0080138659874613,-0.118441430944655
Thesis 12,3.096774193548387,1.0441851275732483,-0.3786868893955884
Thesis 13,3.566666666666667,1.0400044208570938,-0.4801954877795861
Thesis 14,2.7096774193548385,1.2959822114802033,-0.4882816930428136
Thesis 15,3.3548387096774195,1.1704240569632358,-0.4296751613435135
Thesis 16,3.5483870967741935,0.7676244601548059,-0.043787398616231175
Thesis 17,2.566666666666667,1.478193989726777,-0.30698955922245486
Thesis 18,3.0,1.2535663410560174,-0.3349976401848048
Thesis 19,2.5,1.1670771035014103,-0.5593781039320459
Thesis 20,3.5,1.042212500669477,-0.050529115263991134